,comentario,sentimento
0,"Mano. Dia 11 de fevereiro agora fui de manaus a floripa, com conexão em SP. Na corrida pra descolagem, o avião teve um problema com o APU e teve que voltar ao terminal. Esperamos 5 horas para resolver o problema. Até aí, tudo certo. Esperaria até mais. O problema foi o tratamento dado a todos os passageiros do voo MAO GRU que perderam as conexões  eu incluso. Não deram assistência no desembarque, deixaram os passageiros sair da área de conexão sem darem vouchers de alimentação e hotel, alguns tiveram conexões agendadas para o dia seguinte e iam ter que dormir no aeroporto e pagar alimentação do bolso pois não sabiam que tinham direito e NEM FORAM AVISADOS PRLA LATAM. Os problemas eram muitos. As companhias aéreas têm sua parcela de culpa sobre os casos de judicializacao.",negativo
1,Por isso que esse país nunca vai pra frente! Sempre alguém quer tirar vantagem em alguma coisa.,negativo
2,"Isto é o absurdo da legislação brasileira que está inviabilizando as empresas aéreas.  Daqui a pouco só vamos ter voos particulares. Azul prejuízo de 6 Bi  e já cancelaram rotas pelo interior . Gol em recuperação judicial, em fim, uma legislação que está levando a aviação para o fim. Quem quer voar tem que se sujeitar aos imprevisto que acontece e arcar com as consequências. Voar é uma atividade de risco e os riscos não podem ser sustentados só por uma parte. No caso as empresas aéreas.",negativo
3,"Exatamente. Em casos de força maior, o processo é descabido. Mas fora isso, é necessário. Não dá pra amolecer. Recentemente, estava em Londres, voltando pra SP, a KLM me enfiou numa conexão de 50 minutos em AMS. O voo de Londres saiu com 30 minutos de atraso. Peguei a outra perna do voo depois de correr o aeroporto inteiro. E ainda deixaram a minha bagagem despachada na Holanda, já que não deu tempo de embarcar. Então, é por conta desses inconvenientes que as CIAS têm muita culpa no cartório. E não estava chovendo, não tinha nenhuma situação adversa.",negativo
4," te apresentei uma fonte, com dados que provam que nosss lei facilita tal processo, mas nossas empresas aéreas possuem os mesmo problemas que outras ao redor do mundo, com dados, pode pesquisar. Qual a fonte temos piores companhias aéreas do mundo??",negativo
5," voo bastante nessa rota e te digo: já é esse valor :) — inclusive a rota oposta MAO GRU normalmente sofre bastante atraso. A questão aqui é que o post sugere que as pessoas não abram demandas judiciais pq o BR é lider nisso. Vivemos em um pais que o acesso à justiça é livre, então as pessoas que se sentem prejudicadas podem e devem recorrer à justiça em busca de uma reparação sim! Se terão sucesso ou não, ai é outra história, mas também não considero justo que o consumidor que pagou por um serviço e foi de alguma forma prejudicado fique sem suporte. Essa relação entre cia e passageiro é desproporcional, na minha opinião.",negativo
6, isso é realmente bizarro!,negativo
7,Depois não reclama preço de passagem vão quebrar as companhias lucros já são baixos,negativo
8," meu jovem, se uma pessoa se sente prejudicada por algo, ela tem o direito de procurar a justiça para reaver esse dano. Não sou eu nem você que vai jugar se procede ou não. Entrar com um pleito na justiça não significa automaticamente você ganhar esse pleito. Inclusive as indenizações por danos morais são bem pífias no Brasil. Sobre a questão de “estoque de avião”, as pessoas acham que cias tem aeronave no bolso pra substituir, o que é inviável (acho que respondeu sem ler o comentário rs) mas o fato é que seja por safety ou não, isso não é responsabilidade do consumidor e se a cia não cumprir com os suportes previstos em função do tempo de atraso, e se o consumidor se sentir prejudicado, é direito dele buscar essa reparação.",negativo
9,brasil o pais nacional da vantajiii👏👏🔥🔥🤣👌👌,negativo
10,"Isso sem nem entrar no mérito da captação abusiva de clientela... E digo isso enquanto advogado, que sobrevive de honorários. Vivemos tempos turbulentos (desculpe o trocadilho) em muitos âmbitos, o Direito é sem dúvida um deles. ~e depois há advogados que reclamam da ausência de prestígio da profissão.",negativo
11,Eu até fiz uma matéria jornalística sobre esse assunto e é triste ver que a maioria das empresas aéreas que operam no Brasil já faliram e a que estão operando vão falir é só esperar por conta desse pensamento é triste mas é verdade,negativo
12,Dou a eles a mesma atenção que eles me dão quando a mala extravia.,negativo
13," mundo inteiro, uma vez tive um over booking e me pagaram 700$ para ir no próximo voo eu aceite pois não tinha compromisso.",negativo
