,comentario,sentimento
0,Tap curtiu isso aí,positivo
1, parabéns pelo esclarecimento! 👏👏,positivo
2, aparentemente trata-se de mais uma publicação cujo o título induz a pessoa ao erro. Obrigada pelo esclarecimento e por ser uma grande referência na área 👏,positivo
3, obrigado. 🥰,positivo
4, rsrsrs😂,positivo
7,🇧🇷🇧🇷ORGULHO🇧🇷🇧🇷,positivo
8,Que MARAVILHA 👏👏❤️❤️,positivo
9,De 25 mil 👏👏👏,positivo
10,Lindo! 🇧🇷👏,positivo
11,🚀,positivo
12,D+++🇧🇷👏👏👏👏,positivo
13,🇧🇷🇧🇷🇧🇷👏👏,positivo
14,🇧🇷❤️,positivo
17,"Em cada lar, em cada tela que estampar o passado visto no presente, sirva-nos para bendizer a PAZ! Promovamos a PAZ nas famílias, no trabalho, por onde  passarmos que plantemos PAZ! Esta germinará o amor, a tolerância, o respeito à liberdade de expressão, à diversidade humana, aos costumes de cada povo, aos seus valores e princípios morais, espirituais e sociais!",positivo
18,Parabéns a todos!!,positivo
19,Força já!,positivo
20,🇧🇷👏,positivo
21,Salve o ano de 1945 ! 🇧🇷,positivo
22,Homens e nulheres de valor. Brasileiros que nos dão orgulho.,positivo
23,😢😍❤️👏,positivo
24,Tempos realmente heróicos. Havia orgulho.,positivo
25,🇧🇷🇧🇷🇧🇷👏👏👏,positivo
26,Que tenhamos fé sempre na vitória. Vem aí o recrudescimento dela! 🇧🇷,positivo
27,👏👏,positivo
28,da minha família CIRILO na Paraíba as cidades de CATIMGUEIRA e OLHO D ‘AGUA foram honradas pelo meu primo GORGONHO CIRILO 👏👏👏👏❤️❤️❤️❤️,positivo
30,👏👏👏👏🇧🇷🇧🇷🇧🇷,positivo
31,🙌🙌🙌🙌,positivo
32,Parabéns! Força Área Brasileira. Linda homenagem.,positivo
34,"Parabéns a FAB pelo espetáculo que presenciamos hoje! Foi emocionante! ✨️✨️✨️✨️ Obrigada por esse evento! Meu pai, de 95 anos, veterano do Exército, não conteve a emoção e a alegria de estar ali! Deslumbrante o modo como a história foi revivida!!!",positivo
36,Vivas para a FORÇA AÉREA BRASILEIRA!!! 👏 🇧🇷 👏 🇧🇷 👏 🇧🇷 ❤😍,positivo
37,"Parabéns a todos os envolvidos nas comemorações e, em especial,  aos heróis veteranos, quer ainda estejam ou não entre nós. 🖖👽",positivo
38,Lindo. Era pra ser lembrado nas escolas,positivo
39,Linda história!Parabéns!,positivo
40,Que nossos militares resgatem y honra nossos heróis do passado. Hoje são meras sombra.,positivo
41,🇧🇷✨👏,positivo
42,"Emocionante!
Foi uma belíssima homenagem às nossos heróis do ar.",positivo
43,Parabéns aos Veteranos que combateram pelo Brasil!🎖🎖🎖👏🏼👏🏼👏🏼💪🏼💪🏼👍🏼🇧🇷🇧🇷🇧🇷🇧🇷,positivo
44,👏🏿👏🏿👏🏿👏🏿,positivo
45,🔺📿🚴🇧🇷✈️💺🚁,positivo
46,Poderia haver em todo o país durante o ano ou um stream desse momento,positivo
47,👏👏👏👏👏🙌🙌🙌🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,positivo
48,🇧🇷Meus parabéns para esse veteranos e parabéns tbm pra nossa Força Aérea Brasileira 👏👏👏👏👏👏👏,positivo
49,👏👏👏👏👏,positivo
51,🇧🇷🙌👏,positivo
52,👏👏👏👏👏👏👏👏👏🇧🇷,positivo
53,que lindaaa  🇧🇷🇧🇷🇧🇷😍😍,positivo
54,Orgulho de vc  🇧🇷🇧🇷🇧🇷😍😍😍,positivo
55,Parabéns 👏👏👏👏👏👏 tem bastante história para muitos filmes !,positivo
56,👏👏👏,positivo
57,Sensacional. 🇧🇷🙌😢,positivo
58,🇧🇷🙏🏼🙏🏼🙏🏼🇧🇷,positivo
59,Grande dia!!!!! 👏,positivo
60,🇧🇷🙌🙌🙌🇧🇷,positivo
61,"Que incrível isso 😍 maravilhoso. Poderia se feito em outro lugar também né , por favor. Como aqui em Curitiba no cindacta 2 ❤️ parabéns a todos",positivo
62,poderia haver em todo o país durante o ano ou um stream desse momento,positivo
63,👏👏🇧🇷😍,positivo
64,🇧🇷🇧🇷🇧🇷🇧🇷👏👏👏👏👏👏,positivo
65,👏🏿👏🏿👏🏿👏🏿AULAS,positivo
66,"👏👏👏👏grande iniciativa , linda apresentação .",positivo
68,"Deus seja com nossas Forças Armadas, em o Nome do Senhor Jesus.",positivo
69,Nossos heróis jamais serão esquecidos! Senta a Pua!,positivo
70,Parabéns pela bela iniciativa! Vamos ttansformar esse evento numa tradição!👏👏👏👏👏,positivo
71,👏,positivo
72,Toda honra aos nossos heróis da Força Expedicionária Brasileira. Salve a nossa FAB 💙,positivo
73,Lindo!!! Bravo Brasil!!! Bravo Força Aérea Brasileira!!! Orgulho de ser brasileiro!!! 👏👏👏🇧🇷🫡,positivo
74,Parabéns a todos os envolvidos!,positivo
75,Sensacional 👏👏👏🫡🇧🇷,positivo
76,Nossa! Que emoção! Que orgulho! Ad astra et ultra. Brasil.,positivo
77,Emocionante!,positivo
79,Que Deus nos proteja!,positivo
80,👏👏👏👏🔥🔥🔥🔥🔥,positivo
81,Parabéns!!! 🔥🔥🔥🔥🔥,positivo
82,Foi simplesmente sensacional e emocionante! Parabéns 💚💛🪖,positivo
84,❤️❤️Parabéns.  Foi uma cerimônia  emocionante ❤️,positivo
85,Que lindo! Nossa história em nossa memória. Por mais eventos assim! Gratidão 🙏🏻,positivo
86,🇧🇷🇧🇷🇧🇷,positivo
87,Eu só queria que os P-47 voassem 👏👏👏👏,positivo
88,Parabéns a todos os envolvidos. Essa cerimônia foi um verdadeiro espetáculo! 👏👏👏👏👏,positivo
89,💙💙💙💙💙💙✈️🇧🇷😍,positivo
91,🐍🚬🇧🇷💪🏼🪖,positivo
92,🫡,positivo
93,Queria tanto sentir honra.,positivo
94,💚🇧🇷💪🏼👏🏼,positivo
95,👏👏👏👏👏👏👏👏👏👏,positivo
96,"Que cerimônia espetacular. Realmente, um momento tão importante, merece algo memorável em homenagem aos que se sacrificaram por nós.",positivo
97,Q recordação!! Maravilhosas homenagens!!! Deve ter sido um espetáculo  inenarrável.  Q pena não ter a oportunidade de assistir.  Parabéns a todos envolvidos!!! Amei!!! 👏👏❤️😍🇧🇷💚💛💙🤍🇧🇷🙏🏻🙏🏻,positivo
98,#SentaaPua 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,positivo
99,Que espetáculo! 👏,positivo
100,Verdadeiros heróis! Homens bravos!,positivo
101,"Parabéns a todos os veteranos, e a todos os envolvidos nessa grande jornada, que Deus abençoe a todos da FAB.",positivo
102,"Emocionante ,parabéns a todos os envolvidos👏👏.",positivo
103,👏👏👏👏👏👏👏 parabéns  a todos🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,positivo
104,🇧🇷🇧🇷✈️✈️🫡🫡❤️❤️,positivo
105,Parabéns a todos 👏👏👏👏🇧🇷🇧🇷🇧🇷,positivo
106,Toda honra e toda glória aos verdadeiros heróis. INFANTARIAAAA SELVAAAA,positivo
107,"Emocionada daqui! 🥹 Todos guerreiros, heróis, que se dedicam a salvar vidas, proteger vidas, resgatar vidas e histórias, a um amor à Pátria e a vida do próximo!! Vcs são exemplo!! Brabooo💪🙏❤️❤️❤️",positivo
108,SENTA PUA! 👏👏👏👏🇧🇷🇧🇷🇧🇷🇧🇷,positivo
109,🚀🚀💛,positivo
110,🇧🇷🫡,positivo
111,Emocionante,positivo
112,Coisa linda 🥹❤️🇧🇷🫡,positivo
113,👏👏👏👏,positivo
114,Manter a história viva é ter o direito de viver!!!,positivo
116,🫡🇧🇷,positivo
117,"Solenidade espetacular! Obrigados aos verdadeiros heróis nacionais, que arriscaram suas vidas pela liberdade. Jamais serão esquecidos!!! 🚬🐍🫡🇧🇷",positivo
118,Lindo...que orgulho da nossa história🇧🇷.,positivo
119,"Que bacana!!! SENSACIONAL👏👏👏 Parabéns por nos lembrar que temos passado, que temos heróis🙌🙌🙌 ❤️❤️❤️",positivo
120,"John 3:15-21 (KJV)  That whosoever believeth in him should not perish, but have eternal life.
For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life.
For God sent not his Son into the world to condemn the world; but that the world through him might be saved.
He that believeth on him is not condemned: but he that believeth not is condemned already, because he hath not believed in the name of the only begotten Son of God.
And this is the condemnation, that light is come into the world, and men loved darkness rather than light, because their deeds were evil.
For every one that doeth evil hateth the light, neither cometh to the light, lest his deeds should be reproved.
But he that doeth truth cometh to the light, that his deeds may be made manifest, that they are wrought in God.",positivo
121,MINHA  gloriosa  FAB !,positivo
122,🙌,positivo
123,Eu fiz parte da FAB ! Quantas saudades !,positivo
124,Essa memoria deveria ser visitada dessa forma linda todo ano! Pra toda a sociedade! ❤️,positivo
125,Que maravilha 🤔 🙌👏👏👏,positivo
126,"Senta Pua, Brasil 🇧🇷",positivo
127,"Parabéns a todos os veteranos da Força Aérea Brasileira!
O nosso juramento não tem prazo de validade.",positivo
128, ❤️ aqui só tem amor ❤️🙏🏼,positivo
